Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Exit_Reason,Hold_Days,ATR_Pct,Return_10D
AMD,2023-01-13,2023-01-17,69.83999633789062,72.63359619140626,30.357310296096102,2120.154439907561,84.8061775963026,0.040000000000000036,TP,4,0.0408494830130983,0.1315327376869777
NVDA,2023-01-13,2023-01-17,16.241910621869895,16.891587046744693,131.19787230901687,2130.9041158225514,85.23616463290233,0.040000000000000036,TP,4,0.047725771014713,0.1763322494969588
NVDA,2023-01-18,2023-01-18,17.627830325283927,17.275273718778248,123.37875435518627,2174.899747518109,-43.497994950362276,-0.020000000000000018,SL,0,0.0425416138399894,0.2113041555425054
TSLA,2023-01-18,2023-01-18,136.55999755859375,133.82879760742188,15.932641738172412,2175.7615168667735,-43.51523033733545,-0.020000000000000018,SL,0,0.0719609248162295,0.0674622923153143
AMD,2023-01-18,2023-01-19,71.87000274658203,70.43260269165039,30.369953289176685,2182.6886263066963,-43.65377252613401,-0.020000000000000018,SL,1,0.0369265500263777,0.1052956623173499
AMZN,2023-01-18,2023-01-19,97.25,95.30499999999999,22.4266104883925,2180.987869996171,-43.61975739992358,-0.02000000000000013,SL,1,0.0336655037064887,0.1434524172828311
NFLX,2023-01-18,2023-01-19,32.67499923706055,32.02149925231934,66.58318432948772,2175.6054971670733,-43.512109943341365,-0.019999999999999907,SL,1,0.0360602376807823,0.1062805441454366
TSLA,2023-01-19,2023-01-19,127.26000213623048,124.71480209350587,16.80488051373282,2138.5891300767366,-42.77178260153484,-0.020000000000000018,SL,0,0.0708572681828093,0.1913043533495195
NVDA,2023-01-19,2023-01-20,16.998231918602517,17.67816119534662,126.39895684372723,2148.5587826991064,85.94235130796429,0.040000000000000036,TP,1,0.0410394771980872,0.2139013939158265
AMZN,2023-01-20,2023-01-23,93.86000061035156,97.61440063476563,22.626665773421003,2123.738863303516,84.94955453214077,0.040000000000000036,TP,3,0.0363471434999451,0.1003053908474147
TSLA,2023-01-20,2023-01-23,128.67999267578125,133.8271923828125,16.497703005808493,2122.924301954651,84.91697207818625,0.040000000000000036,TP,3,0.0704343992305315,0.1190601799715367
AMD,2023-01-23,2023-01-23,72.22000122070312,75.10880126953126,30.168147983896002,2178.743684223322,87.14974736893305,0.040000000000000036,TP,0,0.0402556684796375,0.124177725595914
NFLX,2023-01-23,2023-01-23,34.172000885009766,35.53888092041016,63.378535505473366,2165.771371383659,86.63085485534644,0.040000000000000036,TP,0,0.0357559967836573,0.1059089686589418
NVDA,2023-01-23,2023-01-23,18.023954731552497,18.744912920814595,119.15457213493995,2147.6366142176644,85.90546456870645,0.040000000000000036,TP,0,0.0428274921024802,0.2505431573034204
AMD,2023-01-24,2023-01-25,73.75,72.275,30.28709811114881,2233.673485697225,-44.67346971394432,-0.019999999999999907,SL,1,0.0413750000356041,0.1965290787171976
AMZN,2023-01-24,2023-01-25,96.93000030517578,94.99140029907227,23.21792115719762,2250.5131048527123,-45.010262097054195,-0.020000000000000018,SL,1,0.0361098124551837,0.1328995651564282
CRM,2023-01-24,2023-01-25,153.24871679352955,150.18374245765895,14.703240912481721,2253.2528025439483,-45.06505605087913,-0.020000000000000018,SL,1,0.0343188874753637,0.1093161947581828
NVDA,2023-01-24,2023-01-26,18.785259468912272,19.536669847668765,115.92929671191533,2177.7619187818477,87.11047675127412,0.040000000000000036,TP,2,0.0436431093545731,0.2916753933167668
AMD,2023-01-26,2023-01-26,76.5,74.97,29.167901709296125,2231.3444807611536,-44.62688961522311,-0.020000000000000018,SL,0,0.0426225852182536,0.1008082336915392
CRM,2023-01-26,2023-01-26,155.49978907629935,161.71978063935134,13.821735886956466,2149.277015090048,85.97108060360215,0.040000000000000036,TP,0,0.0346463029902932,0.0592105831126448
NFLX,2023-01-24,2023-01-27,35.75299835205078,36.07699966430664,63.02034012431715,2253.166116610391,20.418672899089344,0.00906221372164362,TIME,3,0.0362278870902443,0.1326889632123196
AMZN,2023-01-26,2023-01-27,98.23999786376952,102.1695977783203,22.618782142709062,2222.0691093808064,88.88276437523218,0.040000000000000036,TP,1,0.0371402100818927,0.0813396832668036
